id,modified_comment,Cause Span,GPT-4,ChatGPT,Flan-Alpaca-XL,,best_matches,worst_matches,Emotion 2,ChatGPT,GPT-4,flan-alpaca
594591557,"You should not do it, it is wrong",it is wrong,"You should not do it, it is wrong",You should not do it,"""You should not do it, it is wrong.""",389,,,Disapproval,Disapproval,Disapproval,Disapproval
595303968,"Code size/performance, yes I would have to agree","Code size/performance, yes I would have to agree",yes I would have to agree,yes I would have to agree,Code size/performance.,60,,,Approval,Approval,Agreement,Approval
597535481,"I am maybe missing something but it seems to be a dead code anyways, because `this.watcher` is always `null` at this point so this `if` branch with `this.watcher.pause()` is actually never executed (see line 252)?
[URL]",I am maybe missing something but it seems to be a dead code anyways,I am maybe missing something but it seems to be a dead code anyways,I am maybe missing something but it seems to be a dead code anyways,"""I am maybe missing something but it seems to be a dead code anyways, because this.watcher is always null at this point so this if branch with this.watcher.pause() is actually never executed (see line 252)?""",93,,,Nervousness,Irritation,Confusion,Frustration
600179413,"[BLOCK QUOTE]. That's precisely what I was describing, yes.",That's precisely what I was describing,[BLOCK QUOTE].,,"""That's precisely what I was describing, yes.""",311,,,Approval,0,Curiosity,Excitement.
607233139,"Just a PR -- I'll mark it with the Housekeeping label. (The bot doesn't know about Housekeeping iirc, so it will still probably comment, unfortunately.)","it will still probably comment, unfortunately",(The bot doesn't know about Housekeeping iirc so it will still probably comment unfortunately.),"so it will still probably comment, unfortunately.","""The bot doesn't know about Housekeeping iirc, so it will still probably comment, unfortunately.""",314,,,Disappointment,Annoyance,Amusement,Frustration
608001823,"There are a couple failing tests now; I’m guessing some of this was still important. If I had to guess, I would say that this `else` block needs to be preserved for insertions where the next element is on a different line.",there are a couple failing tests now,If I had to guess,"Uncertainty: ""If I had to guess"" span: ""If I had to guess I would say that this `else` block needs to be preserved for insertions where the next element is on a different line.""","""There are a couple failing tests now; I’m guessing some of this was still important.""",169,,,Nervousness,Guessing,Curiosity,Curiosity.
608856666,"Ok, so, in this case, we don’t need a semicolon because we had a line break and `{` is not one of the tokens that prevents ASI from happening. So here, we do want `Unexpected token. A constructor, method, accessor, or property was expected.` But if it were on the previous line, we’d want `';' expected.` Sorry if I led you astray in my previous comment—I think what I said was right, but incomplete. This stuff is tricky 😅 Some test cases:
[TRIPLE QUOTE].
which is what they all say in current master.",Sorry if I led you astray in my previous comment,"Sorry if I led you astray in my previous comment—I think what I said was right, but incomplete. This stuff is tricky 😅",This stuff is tricky 😅,""" Ok, so, in this case, we don’t need a semicolon because we had a line break and  is not one of the tokens that prevents ASI from happening. So here, we do want Unexpected token. A constructor, method, accessor, or property was expected. But if it were on the previous line, we’d want ';' expected. Sorry if I led you astray in my previous comment—I think what I said was right, but incomplete. This stuff is tricky  Some test cases: [TRIPLE QUOTE]. which is what they all say in current master..""",248,,,Neglect,Confusion,Curiosity,Frustration
613542715,ahh well it still is going to build all the time i guess... it was never tested scenario.. so ....,it was never tested scenario..,it was never tested scenario,it still is going to build all the time i guess.,"""ahh well it still is going to build all the time i guess... it was never tested scenario.. so .....""",421,,,Disappointment,Apprehension,Confusion,Frustration
615399836,😕 So we should simply ignore private `Symbol.iterator/Symbol.asyncIterator` when checking unused members?,So we should simply ignore private,ignore private `Symbol.iterator/Symbol.asyncIterator` when checking unused members?,😕 So we should simply ignore private `Symbol.iterator/Symbol.asyncIterator` when checking unused members?,""" So we should simply ignore private Symbol.iterator/Symbol.asyncIterator when checking unused members?""",4,,,Confusion,Confusion,Confusion,Curiosity
622142795,🧐 awwww I have no idea how I managed that. Goodness! Thank you for catching this! 😁,Goodness! Thank you for catching this!,awwww I have no idea how I managed that. Goodness! Thank you for catching this!,Thank you for catching this! 😁,I have no idea how I managed that.,51,,,Affection,Joy,Amusement,Astonishment
626079878,"Oh yes, I just mixed that one up. Fixing!",I just mixed that one up,I just mixed that one up.,,"""Oh yes, I just mixed that one up. Fixing!""",240,,,Neglect,0,Realization,Excitement.
626115467,Oh! Thank you!!! Actually fixed now. 🙃,Thank you!!! Actually fixed now.,Oh! Thank you!!! Actually fixed now. 🙃,Oh! Thank you!!!,"""Actually fixed now.""",246,,,Affection,Gratitude,Joy,Approval
626601399,"Pete answered here: [URL] Thanks, both of you!","Thanks, both of you!","Thanks, both of you!","Thanks, both of you!","Pete answered here: ""Thanks, both of you!""",298,,,Affection,Gratitude,Gratitude,Appreciation
628914459,"I'm not sure why this code is here, and why it is hard-coded to the `/testing/` path.",I'm not sure why this code is here,"I'm not sure why this code is here, and why it is hard-coded to the `/testing/` path.",/testing/.,"""I'm not sure why this code is here, and why it is hard-coded to the /testing/ path..""",359,,,Confusion,Confusion,Confusion,Confused
629544142,"moved, though I'm not 100% on how I set up the tests for it also, worried that while it fixes a bug, it's a bit breaking because it was added into es5 half a year ago","worried that while it fixes a bug, it's a bit breaking",worried that while it fixes a bug,"also, worried that while it fixes a bug, it's a bit breaking because it was added into es5 half a year ago.","""moved""",206,,,Nervousness,Worry,Worry,Anxiety
629735298,"That looks good, but you could also just use a class field in the binding and update it [as described here]([URL]",That looks good,you could also just use a class field in the binding and update it,That looks good,"""That looks good, but you could also just use a class field in the binding and update it""",304,,,Approval,Contentment,Curiosity,Curiosity.
630039493,Why is the `| null` part needed? 😕,Why is the `| null` part needed,`| null` part,"span: ""Why is the `| null` part needed? 😕"".","""Why is the ""| null"" part needed?""",355,,,Confusion,Confusion,Confusion,Curiosity
635391807,"OOC, why move this here? :confused:",why move this here? :confused:,:confused:,:confused:,""" OOC, why move this here?""",5,,,Confusion,Confusion,Confusion,Confusion
637396180,"Is this actually relevant to this bug?
It seems to me that this PR has two parts:
1) Fixing the bug which is when there is only one task, and that task has a error, we were not throwing the error.
2) Speeding up the case where there are multiple tasks but only one of them has an error.
Is the second part actually necessary? I think the code could be smaller without this performance change.",.Is the second part actually necessary,Is the second part actually necessary?,"span: ""Is the second part actually necessary? I think the code could be smaller without this performance change.""","""Is this actually relevant to this bug?""",422,,,Disapproval,Indifference,Curiosity,Confused
641696774,"Wow, this was a tricky one. Thank you!",this was a tricky one. Thank you!,Thank you!,"Wow, this was a tricky one. Thank you!","Wow, this was a tricky one. Thank you!",406,,,Affection,Joy,Gratitude,Approval
645799029,That is an unfortunate how onSelectionHandleTapped behave differently based on the implementation of TextSelectionControls. I am ok with this approach if we can deprecate the onSelectionHandleTapped at some point....,That is an unfortunate how onSelectionHandleTapped behave differently,That is an unfortunate how onSelectionHandleTapped behave differently based on the implementation of TextSelectionControls.,That is an unfortunate how onSelectionHandleTapped behave differently based on the implementation of TextSelectionControls. I am ok with this approach if we can deprecate the onSelectionHandleTapped at some point....,"""That is an unfortunate how onSelectionHandleTapped behave differently based on the implementation of TextSelectionControls.""",303,,,Disappointment,Distress,Disapproval,Frustration
646623642,I’m not 100% sure what the implications are for removing it—we should check with [USER] ad [USER].,I’m not 100% sure what the implications are for removing it,I’m not 100% sure what the implications are for removing it,I'm not 100% sure,"""I’m not 100% sure""",167,,,Confusion,Uncertainty,Curiosity,Confused
646867180,"I don't think we can't do this, because it will be different depending on what the width of someone's terminal would be when running the tests (aka it'd be inconsistent)",don't think we can't do this,I don't think we can't do this,I don't think we can't do this,"""it will be different depending on what the width of someone's terminal would be when running the tests (aka it'd be inconsistent)""",117,,,Nervousness,Uncertainty,Confusion,Frustration
646869077,"I thought I did, my bad",my bad,my bad,my bad.,"I thought I did, my bad.",145,,,Neglect,Annoyance,Embarrassment,Regret
647633096,"isnt this incorrect, you would want to return the watcher.close function that does what it is doing below instead of returning the actual watcher created by nodeModules watcher?",isn't this incorrect,"isnt this incorrect, you would want to return the watcher.close function that does what it is doing below instead of returning the actual watcher created by nodeModules watcher?",isnt this incorrect,"""isnt this incorrect""",181,,,Disapproval,Confusion,Curiosity,Frustration
648607519,"Oh whoops, I thought I'd added this.",Oh whoops,Oh whoops,,"""Oh whoops, I thought I'd added this..""",239,,,Neglect,0,Embarrassment,Dismay
651170934,not sure what this id is adding. Is this meant to be used in the test?,I am not sure what this id is adding.,I am not sure what this id is adding.,I am not sure what this id is adding.,not sure what this id is adding. is this meant to be used in the test?,230,,,Confusion,Confusion,Curiosity,Curiosity
654364216,Absolutely right! :),Absolutely right! :),Absolutely right! :),:),Absolutely right!,398,,,Approval,Happiness,Joy,Joy.
654710933,"This is getting a bit too clever... it seems we're relying on the fact that this returns `undefined` for all _other_ kinds of type nodes, correct? At the very least, we should have a comment here explaining:
1) what kinds of nodes we want to return `INELIGIBLE` for, and why.
2) the mechanism by which eligible nodes end up getting selected.",This is getting a bit too clever...,we should have a comment here explaining,"it seems we're relying on the fact that this returns `undefined` for all _other_ kinds of type nodes, correct?","""This is getting a bit too clever""",328,,,Nervousness,Confusion,Curiosity,Frustration
655711946,You could certainly be seeing an artifact of the fourslash client 😬. Have you checked the behavior against a Real Editor?,You could certainly be seeing an artifact of the fourslash client 😬,Have you checked the behavior against a Real Editor?,😬.,"""You could certainly be seeing an artifact of the fourslash client .""",386,,,Nervousness,Anxiety,Curiosity,Curiosity
656114362,I'm afraid that it is breaking change,it is breaking change,I'm afraid,I'm afraid,"""I'm afraid that it is breaking change""",153,,,Nervousness,Fear,Fear,Apprehension
656631873,"Good point. In that case overflowAlignment applies. This would be a good place to mention overflowAlignment, I'll add it.","This would be a good place to mention overflowAlignment, I'll add it.","This would be a good place to mention overflowAlignment, I'll add it.",Good point.,"""Good point""",77,,,Approval,Approval,Approval,Joy.
656831098,"These kinds of types should be forbidden 😠
My brain hurts 🤯 😛",My brain hurts,My brain hurts 🤯 😛,These kinds of types should be forbidden 😠,These kinds of types should be forbidden,209,,,Cheerfulness,Irritation,Amusement,Frustration
657494742,"Yes, because usage indicates that it's unhelpful.","Yes, because usage indicates that it's unhelpful.",it's unhelpful.,because usage indicates that it's unhelpful.,"""usage indicates that it's unhelpful.""",349,,,Approval,Disapproval,Disapproval,Frustration
657684839,😱 - good spot.,😱 - good spot.,😱 - good spot.,😱.,"""good spot""",1,,,Horror,Surprise,Surprise,Joy.
658744651,Looks good! I was unsure how to implement it cleanly in my PR so I just force committed the changes. To my PR Branch 🤞,Looks good,I just force committed the changes,Looks good!,"""Looks good!""",199,,,Approval,Relief,Relief,Joy.
658793281,"Looks fine to me. You could do this with a second regex replace (!) but I don't think it would make much difference to the performance, and this is pretty easy to follow.",Looks fine to me.,Looks fine to me.,,"""Looks fine to me. You could do this with a second regex replace (!) but I don't think it would make much difference to the performance, and this is pretty easy to follow.""",197,,,Approval,0,Approval,Optimism
661682280,Ah I see. But I'm not sure if there's a good way to check if a `FocusNode` is already `dispose`d. It seems fine to keep a `dispose`d `FocusNode` around? In `_applyFocusChange` if either of these 2 nodes are detached from the tree then we throw the entry away anyways.,not sure if there's a good way to check,I'm not sure if there's a good way to check if a `FocusNode` is already `dispose`d.,I'm not sure if there's a good way to check if a `FocusNode` is already `dispose`d.,"""Ah I see. But I'm not sure if there's a good way to check if a FocusNode is already disposed. It seems fine to keep a disposed FocusNode around? In _applyFocusChange if either of these 2 nodes are detached from the tree then we throw the entry away anyways..""",39,,,Confusion,Confusion,Curiosity,Curiosity
661718222,"[BLOCK QUOTE].
It sounds like with the current implementation something in the first row should be auto-focused, and then it will be unfocused so the scope is gonna get the focus,
and with this patch the second row (or whoever got mounted first and remain attached after the first frame) should be autofocused.
I'm not sure what the expected behavior is in this case.",I'm not sure what the expected behavior is in this case,I'm not sure what the expected behavior is in this case.,I'm not sure what the expected behavior is in this case.,"""[BLOCK QUOTE] It sounds like with the current implementation something in the first row should be auto-focused, and then it will be unfocused so the scope is gonna get the focus, and with this patch the second row (or whoever got mounted first and remain attached after the first frame) should be autofocused. I'm not sure what the expected behavior is in this case..""",12,,,Confusion,Confusion,Confusion,Confused
661805785,"Oh sorry, you're good. I was misreading the open/close brackets for the parameters in SelectableText.rich.","Oh sorry, you're good. I was misreading the open/close brackets",Oh sorry,"Oh sorry, you're good.",misreading the open/close brackets for the parameters in SelectableText.rich.,238,,,Neglect,Contentment,Embarrassment,Apprehension
662590100,Yeah that sounds good! I was a bit confused about what `delta` was since there are at least 2 pointers involved in a scale gesture.,I was a bit confused about what `delta` was since there are at least 2 pointers involved in a scale gesture.,I was a bit confused about,I was a bit confused about what `delta` was since there are at least 2 pointers involved in a scale gesture.,"I was a bit confused about what """"delta"""" was since there are at least 2 pointers involved in a scale gesture.",368,,,Confusion,Confusion,Confusion,Curiosity.
662642181,I don't understand. Is the concern that there might be multiple instances of the same component running?,I don't understand. Is the concern that there,I don't understand. Is the concern that there might be multiple instances of the same component running?,I don't understand.,I don't understand.,120,,,Confusion,Confusion,Confusion,Curiosity
662652274,This looks worse? It has `number[]` twice.,This looks worse? It has `number[]` twice.,This looks worse?,This looks worse? It has `number[]` twice.,"This looks worse? It has ""number[]"" twice.",339,,,Nervousness,Confusion,Disapproval,Frustration
665335063,mh.... yeah sorry about that :disappointed:,yeah sorry about that,yeah sorry about that :disappointed:,"span: "":disappointed:""","""mh.... yeah sorry about that""",205,,,Disappointment,Disappointment,Embarrassment,Disappoint
665713857,I am a bit torn on instructing people to read the comment for context. Would it be better to express the reasoning here instead?,bit torn on instructing people to read the comment for context,I am a bit torn on instructing people to read the comment for context. Would it be better to express the reasoning here instead?,I am a bit torn on instructing people to read the comment for context.,I am a bit torn on instructing people to read the comment for context. Would it be better to express the reasoning here instead?,90,,,Nervousness,Confusion,Curiosity,Confusion
665724193,I'm not sure that adding to tslint at this stage in its life is a good use of our time.,not sure that adding to tslint at this,I'm not sure that adding to tslint at this stage in its life is a good use of our time.,I'm not sure that adding to tslint at this stage in its life is a good use of our time.,"""I'm not sure that adding to tslint at this stage in its life is a good use of our time.""",162,,,Disapproval,Doubt,Doubt,Disapproval
666500391,[TRIPLE QUOTE]. This sounds like it is a bug we should fix directly rather than through a parameter like this.,This sounds like it is a bug we should fix,This sounds like it is a bug we should fix directly rather than through a parameter like this.,we should fix directly,"""[TRIPLE QUOTE]""",21,,,Nervousness,Disapproval,Approval,Frustration
666535767,makes sense! thanks for the clarification.,thanks for the clarification.,thanks for the clarification.,thanks for the clarification.,"""makes sense!""",201,,,Affection,Relief,Approval,Approval
668162301,"Oops, good catch. I'd forgotten to commit some local changes.","Oops, good catch. I'd forgotten to commit",I'd forgotten to commit some local changes.,good catch,"""Oops, good catch. I'd forgotten to commit some local changes..""",253,,,Neglect,Relief,Embarrassment,Excitement.
668308645,These are great tests and really helped me understand how this works 👍,".these are great tests, 👍",These are great tests and really helped me understand how this works,These are great tests and really helped me understand how this works 👍.,These are great tests and really helped me understand how this works.,427,,,Affection,Happiness,Approval,Joy.
668371289,"I'm not planning to start supporting events in this PR - the whole point is just to baseline the output of the event, and I'll admit that I don't necessarily know what it would mean to support events.",not planning to start supporting events in this PR,I don't necessarily know what it would mean to support events.,I'll admit that I don't necessarily know what it would mean to support events.,"""I don't necessarily know what it would mean to support events.""",159,,,Disapproval,Uncertainty,Confusion,Confused
669245883,"I see, this makes sense if the intent is to make this explicit to the user. Will this affect other `testWidget` blocks though? If so we should probably use `addTearDown` within the implementation to reset this after the current test block runs to avoid things like order-dependent tests.",.Will this affect other `testWidget` blocks though?,Will this affect other `testWidget` blocks though?,Will this affect other `testWidget` blocks though?,Curiosity caused by the intent of making this explicit to the user.,428,,,Nervousness,Curiosity,Curiosity,Curiosity
670810244,Obvious typo I wish I'd caught sooner 😔. Good catch.,Obvious typo I wish I'd caught sooner,I wish I'd caught sooner,Obvious typo I wish I'd caught sooner 😔.,"""Obvious typo""",75,,,Neglect,Regret,Regret,Approval
670851195,"[USER] Since that affects all methods in the package, rather than just the proposed new ones, it would need to be changed consistently everywhere. Please feel free to open an issue about this!",.would need to be changed consistently everywhere.,Please feel free to open an issue about this!,it would need to be changed consistently everywhere.,"Curiosity caused by ""since that affects all methods in the package, rather than just the proposed new ones, it would need to be changed consistently everywhere.""",429,,,Nervousness,Annoyance,Approval,Curiosity
670920406,"You are indeed correct. I must have screwed something up when I initially tested this, but I've now formatted all of the SVGs properly and confirmed that they are still working fine.",I must have screwed something up when I initially tested this,I must have screwed something up when I initially tested this,I've now formatted all of the SVGs properly and confirmed that they are still working fine.,"""You are indeed correct.""",378,,,Neglect,Relief,Relief,Joy.
671451986,"let's look what [USER] answer, maybe it is not bad to have parser pinned, sometimes regressions happens",.maybe it is not bad to have parser pinned,maybe it is not bad to have parser pinned,maybe it is not bad to have parser pinned.,"let's look what ""[USER] answer""",430,,,Affection,Optimism,Curiosity,Curiosity
671719392,I am not sure about this... it looks nicer but maybe it's be better not to use new JS features?,I am not sure about this... it looks nicer but maybe it's be better not to use new JS features?,I am not sure about this... it looks nicer but maybe it's be better not to use new JS features?,I am not sure about this....,I am not sure about this... it looks nicer but maybe it's be better not to use new JS features?,95,,,Confusion,Indecision,Uncertainty,Confused
671822413,"cool thank you very much both, I will amend this :smiley:","cool thank you very much both, I will amend this :smiley:","cool thank you very much both, I will amend this :smiley:",:smiley:,"""cool thank you very much both, I will amend this :smiley:.""",61,,,Affection,Happiness,Happiness,Joy.
676953338,"yeah sorry, I got so focused on the other issues that I missed the simplest thing :cry: :sob:
`str` is 100% useless, I'll get rid of it, sorry :disappointed: :bow:","sorry, I got so focused on the other issues","yeah sorry, I got so focused on the other issues that I missed the simplest thing",:cry: :sob: :disappointed: :bow:,"""I got so focused on the other issues that I missed the simplest thing""",366,,,Neglect,Embarrassment,Embarrassment,Dejection
677464104,I am a little confused by this implementation 😕 (I am probably missing something 😅) Why aren't you using something more similar to [URL] What are you trying to improve on by having two different code paths?,I am a little confused by this implementation,I am a little confused by this implementation,I am a little confused by this implementation 😕,I am a little confused by this implementation  (I am probably missing something ) Why aren't you using something more similar to [URL] What are you trying to improve on by having two different code paths?,91,,,Confusion,Confusion,Confusion,Curiosity
677808605,I'm not sure about adding these. Is this the way to do it or is there a better way?,I'm not sure about adding these. Is this the way to do it or is there a better way?,Is this the way to do it or is there a better way?,I'm not sure about adding these.,I'm not sure about adding these.,161,,,Confusion,Uncertainty,Curiosity,Curiosity
678661619,Cool! Is the name ok? `ImportMetaKeyword`/`NewTargetKeyword`? I'm not sure.,I'm not sure.,I'm not sure.,Cool! Is the name ok? `ImportMetaKeyword`/`NewTargetKeyword`? I'm not sure.,"""I'm not sure.""",400,,,Confusion,Curiosity,Curiosity,Curiosity
678671514,This sentence is hard to understand. Maybe rephrase?,this sentence is hard to understand,Maybe rephrase?,This sentence is hard to understand.,This sentence is hard to understand.,340,,,Nervousness,Confusion,Curiosity,Confusion
678683145,I think it's best to avoid the null assertion.,I think it's best to avoid,avoid the null assertion,,"""I think it's best to avoid the null assertion..""",142,,,Neglect,0,Curiosity,Frustration
678725568,can we use `getStart()` rather than `pos` to follow the convention in the rest of the file?,can we use `getStart()` rather than `pos`,can we use `getStart()` rather than `pos` to follow the convention in the rest of the file?,can we use `getStart()` rather than `pos` to follow the convention in the rest of the file?,"""can we use getStart() rather than pos to follow the convention in the rest of the file?""",55,,,Approval,Annoyance,Curiosity,Curiosity.
680251404,"That is actually a good point, let me think about this more",That is actually a good point,let me think about this more,"That is actually a good point,.",That is actually a good point,301,,,Approval,Contentment,Curiosity,Curiosity
680373369,"""Illustrate"" doesn't seem right. I think the original meaning was ""let's take an example of"" or ""let's take a look at"".",doesn't seem right,Illustrate doesn't seem right.,"the phrase ""doesn't seem right""","""Illustrate"" doesn't seem right. I think the original meaning was ""let's take an example of"" or ""let's take an look at"".",174,,,Neglect,Confusion,Disapproval,Curiosity.
680512074,"Why this change? ""Native"" sounds more appropriate/accurate than ""built-in"" here :confused:","Why this change? ""Native"" sounds more appropriate/accurate than ""built-in"" here :confused:",Why this change?,"span ""Why this change? ""Native"" sounds more appropriate/accurate than ""built-in"" here :confused:""","""Native"" sounds more appropriate/accurate than ""built-in"" here.",361,,,Disapproval,Confusion,Curiosity,Confusion
680570961,"Ah wow! thank you so so very much for the clear explanation!!!! you're amazing as always! thanks so much!!! :slightly_smiling_face: ---
About your comment regarding the tsconfig file locations, my current solution uses the existing `.eslintrc.json` file so I'd imagine the tconfigs are relative to that one and don't cause issues, and it does lint the files inside the ts files inside the `firebase-test-utils` directory, I tested that by violating some rules there and getting indeed errors
But I understand that it could be beneficial to keep the directories self contained (especially after your explanation)
I will add an `.eslintrc.json` file there too then :slightly_smiling_face: , I think a good solution would just be to extend the existing `.eslintrc.json` (meaning `""extends"": ""../../.eslintrc.json""`), as that is also what the existing `tsconfig.json` does (
[URL]
)",Ah wow! thank you so so very much for the clear explanation!!!! you're amazing as always! thanks so much!!! :slightly_smiling_face: ---,you're amazing as always!,thank you so so very much for the clear explanation!!!! you're amazing as always! thanks so much!!!,"""Ah wow!""",42,,,Affection,Contentment,Admiration,Astonishment
681206232,"Oh I see, the rest was factored out of the assert. This is a really nice clean up.",This is a really nice clean up,This is a really nice clean up.,the entire sentence.,"""Oh I see, the rest was factored out of the assert. This is a really nice clean up.""",235,,,Affection,Contentment,Admiration,Joy.
681312224,"I think that's a pretty good, realistic example of this 👍","I think that's a pretty good, realistic example of this 👍",I think that's a pretty good,👍.,"""I think that's a pretty good, realistic example of this.""",143,,,Affection,Approval,Approval,Optimism
685271530,"Ah, good point :+1:
It is still unfortunate that we have the same bits of code before and inside the `while` loop. How about something like this (to avoid the code duplication):
[TRIPLE QUOTE].",still unfortunate that we have the same bits of code,How about something like this (to avoid the code duplication),"Ah, good point :+1:",""" Ah, good point :+1: It is still unfortunate that we have the same bits of code before and inside the while loop. How about something like this (to avoid the code duplication): [TRIPLE QUOTE].""",43,,,Disappointment,Approval,Curiosity,Joy.
685380165,I'm not quite sure what to do with the scale slop right now.,I'm not quite sure what to do with the scale slop right now.,I'm not quite sure what to do with the scale slop right now.,not quite sure what to do,"""I'm not quite sure""",160,,,Confusion,Confusion,Confusion,Confusion
685384838,aren't these Fuchsia specific too? Are they passing because they are working correctly or just passing by mistake?,Are they passing because they are working correctly or just passing by mistake?,Are they passing because they are working correctly or just passing by mistake?,cannot generate a response.,"""aren't these Fuchsia specific too?""",49,,,Nervousness,Question unclear,Curiosity,Curiosity
685491920,"yeah, sorry my bad :disappointed:",sorry my bad,"yeah, sorry my bad :disappointed:",:disappointed:,""" yeah, sorry my bad""",6,,,Disappointment,Regret,Embarrassment,Disappoint
685514378,"You are totally right about the commas and the regex, I actually took a very naive and brittle approach and felt ok with it because it passed all the tests
as soon as you mentioned that and I noticed a regex I right away got what where you were saying and totally agree with you of course
I'll see to make the change and add the tests, so sorry for my silliness :bow: :bow: :bow: :cry:",sorry for my silliness,so sorry for my silliness :bow: :bow: :bow: :cry:,so sorry for my silliness :bow: :bow: :bow: :cry:,"""You are totally right about the commas and the regex""",382,,,Neglect,Remorse,Embarrassment,Joy.
686060174,It turned out that this was a bit more complicated since we need to update `super` containers with proxies even if they are not async but only if they contain `super` accesses within an async function inside the `super` container. 😱,It turned out that this was a bit more complicated,this was a bit more complicated,since we need to update `super` containers with proxies even if they are not async but only if they contain `super` accesses within an async function inside the `super` container.,"""we need to update super containers with proxies even if they are not async but only if they contain super accesses within an async function inside the super container.""",188,,,Horror,Anxiety,Confusion,Frustration
687277770,"Ah, I was working around the fact that _localFocalPoint is `late` and won't be initialized on the first run here, so I can't grab the value out of it here.
I've updated it to an if/else that avoids the recalculation, let me know if you like the old way better.",.around the fact that the _localFocalPoint is `late`,let me know if you like the old way better.,localFocalPoint is `late` and won't be initialized on the first run here,"""_localFocalPoint is late and won't be initialized on the first run here, so I can't grab the value out of it here.""",431,,,Affection,Apprehension,Curiosity,Curiosity.
687724118,[USER] right! I just pushed the updated commit,I just pushed the updated commit,I just pushed the updated commit,right! I just pushed the updated commit.,"""[USER] right!""",265,,,Approval,Approval,Satisfaction,Joy.
688423762,"Correct, just fixed, thank you!","just fixed, thank you!",thank you!,just fixed.,"""Correct, just fixed, thank you!""",62,,,Affection,Relief,Gratitude,Approval
688922297,"Ah good point, not sure how I missed that 😅",not sure how I missed that 😅,not sure how I missed that,😅.,"""Ah good point, not sure how I missed that""",38,,,Neglect,Amusement,Embarrassment,Curiosity.
690217023,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.,Thanks! I've extended a new parameter `autoWrap` to control whether or not to wrap the parameter automatically.,"""Thanks!""",300,,,Affection,Contentment,Approval,Approval
690663413,"awesome thanks a lot :slightly_smiling_face: I also see don't have a strong preference either way, but I am leaning a bit more on the second one, so since you're giving me carte blanche I'll go with that
thanks! :smiley:",awesome thanks a lot :slightly_smiling_face:,awesome thanks a lot,"awesome thanks a lot :slightly_smiling_face: I also see don't have a strong preference either way, but I am leaning a bit more on the second one, so since you're giving me carte blanche I'll go with that thanks! :smiley:",awesome thanks a lot,50,,,Affection,Contentment,Gratitude,Joy.
691654921,I'm embarrassed that I never thought of using reduce for calculating math.max of more than 2 items. 👍,I'm embarrassed that I never thought of using reduce for calculating,I'm embarrassed that I never thought of using reduce for calculating math.max of more than 2 items.,I'm embarrassed,I'm embarrassed that I never thought of using reduce for calculating math.max of more than 2 items.,155,,,Neglect,Embarrassment,Embarrassment,Embarrassment
691682727,"It doesn't seem to be an easy change, cocoon is still using existing `updateRequest`, which is different from the properties defined in TaskResult. I prefer to have that change in a separate PR to avoid breaking anything before validating the effectiveness of the intended logic. Created [URL] to track.",prefer to have that change in a separate PR to avoid breaking anything,avoid breaking anything before validating the effectiveness of the intended logic.,It doesn't seem to be an easy change.,"""It doesn't seem to be an easy change""",183,,,Nervousness,Annoyance,Hope,Frustration
692149722,"You're right. What's a better wording for this paragraph?
How about
[BLOCK QUOTE].",What's a better wording for this paragraph?,What's a better wording for this paragraph?,,"""You're right. What's a better wording for this paragraph?""",394,,,Approval,0,Curiosity,Joy.
692481694,"Not sure if it's intentional, but there's a test that specifies an output file without "".dart"" suffix:
[URL]",Not sure if it's intentional,Not sure if it's intentional,Not sure if it's intentional,"Not sure if it's intentional, but there's a test that specifies an output file without "".dart"" suffix: [URL]",224,,,Nervousness,Annoyance,Curiosity,Confused
692538172,"these comments seem superfluous to me -- the intersection one might need a comment if it were on its own, but here it's clearly the inverse of the union case, and the union case is clear as-is",these comments seem superfluous to me,these comments seem superfluous to me,these comments seem superfluous to me,"these comments seem superfluous to me -- the intersection one might need a comment if it were on its own, but here it's clearly the inverse of the union case, and the union case is clear as-is.",318,,,Disapproval,Disapproval,Annoyance,Frustration
694266175,"Ah my bad! Thanks for your comment [USER] I think my confusion comes from the fact that I made the wrong assumption that part ""the browser will not block while the service waits"" was a consequence of the first part of the sentence. Here is a proposition of a new wording: _The HeroService must wait for the server to respond, getHeroes() cannot return immediately with hero data, and because the browser don't block while the service waits the heroes property won't be updated._
What do you think?",Ah my bad! Thanks for your comment,Ah my bad! Thanks for your comment,....my confusion comes from the fact that I made the wrong assumption that part 'the browser will not block while the service waits' was a consequence of the first part of the sentence.,"""I think my confusion comes from the fact that I made the wrong assumption that part ""the browser will not block while the service waits"" was a consequence of the first part of the sentence.""",40,,,Affection,Confusion,Appreciation,Curiosity
694843924,"This comment is outdated now, It defaults to 80 all the time regardless of labelBehavior",This comment is outdated now,It defaults to 80 all the time regardless of labelBehavior,It defaults to 80 all the time regardless of labelBehavior,"""This comment is outdated now, It defaults to 80 all the time regardless of labelBehavior.""",324,,,Horror,Annoyance,Confusion,Frustration
698729183,"I'm interested in what other reviewers think of this. In some cases multiple deltas are sent in one updateEditingValueWithDeltas, and in others just one is sent. Is this the cleanest way to do that?",Is this the cleanest way to do that?,Is this the cleanest way to do that?,I'm interested in what other reviewers think of this.,I'm interested in what other reviewers think of this.,157,,,Nervousness,Curiosity,Curiosity,Curiosity
